Edited_ID,Name,Duration,Status,Raw_ID
28,Restaurant EP3,3,Montage complete,8
19,Laboratory EP2,0,Montage not started,3
24,Street EP3,0,Montage not started,1
29,Restaurant EP4,0,Montage not started,8
3,Underground,5,Improvement required,4
5,Headquarters,7,Improvement required,7
10,Headquarters EP2,2,Improvement required,7
11,Restaurant,7,Improvement required,8
14,Studio EP3,2,Improvement required,5
15,Diner EP4,1,Improvement required,6
12,Underground EP2,4,Improvement required,4
18,Underground EP4,6,Improvement required,4
16,Diner EP5,5,Improvement required,6
17,Laboratory,3,Improvement required,3
22,Underground EP6,6,Improvement required,4
20,Underground EP5,7,Improvement required,4
21,Airplane EP2,4,Improvement required,2
25,Restaurant EP2,6,Improvement required,8
30,Laboratory EP3,4,Improvement required,3
7,Airplane,6,Montage complete,2
4,Diner,6,Montage complete,6
9,Diner EP3,5,Montage complete,6
13,Underground EP3,4,Montage complete,4
2,Studio EP2,0,Montage not started,5
1,Studio EP1,0,Montage not started,5
6,Diner EP2,0,Montage not started,6
23,Street EP2,2,Montage complete,1
26,Underground EP7,4,Montage complete,4
27,Street EP4,5,Montage complete,1
8,Street,0,Montage not started,1
